,spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,spot_16,spot_17,spot_18,spot_19,spot_20,spot_21,spot_22,spot_23,spot_24,spot_25,spot_26,spot_27,spot_28,spot_29,spot_30
AAGAB,0,0,0,2.365427684,2.365427684,0.793432976,0,2.337320517,4.702748201,0,0,0,0,2.337320517,2.337320517,0.793432976,0,0,0,0,0,0,0.793432976,0,0.793432976,0,0,2.337320517,0,0.793432976
AAK1,0,0,0,2.556952485,0,0,0,0,0,0,0,0,0,2.556952485,0,0,0,0,2.556952485,0,0,0,2.556952485,0,0,0,0,2.556952485,0,0
AAMP,1.718438978,0,1.718438978,1.718438978,2.057983752,4.690727359,0,2.057983752,0,0,1.839310631,2.957365327,2.37814939,0,0,0.793432976,2.32301802,2.057983752,0,2.32301802,1.084091671,3.77642273,2.851416728,0,0.793432976,1.839310631,3.142075423,1.238926349,1.839310631,2.511871954
AASDHPPT,2.525115998,0,0,3.477199467,0,0,0.952409493,1.883208162,2.204594674,5.538057099,2.421479713,0,7.110763604,2.421479713,3.477199467,0,0,5.123919156,4.087802836,2.525115998,0,4.866498832,4.087802836,2.702439444,3.157004166,0.952409493,5.049905973,5.227229418,4.626074386,0.778695996
AATF,1.572888443,0,1.572888443,0.952409493,1.572888443,1.630440062,3.139488289,2.187078796,3.741098188,2.525297936,2.291140802,1.238926349,0,1.572888443,0.952409493,1.630440062,1.238926349,2.291140802,1.449957386,3.426005145,0,1.449957386,3.080397448,2.291140802,5.605695384,0.952409493,2.187078796,1.238926349,1.449957386,1.630440062
ABCA1,0,2.138020876,2.472411845,9.755094609,8.524768379,8.117031554,4.59277393,1.349851911,6.994872972,4.25838296,6.456788111,4.726799136,4.498100913,4.288972459,4.332811669,3.911727346,3.077328064,4.503590386,4.239967819,2.921941683,2.138020876,2.085817049,3.996267987,5.706176109,3.559677586,4.447607678,1.838401715,8.21955104,4.059265567,5.737582134
ABCA7,4.471263734,0,0,0,0,0,1.946147735,1.946147735,0,0,3.870077468,0,2.525115998,1.923929732,0,0,0,1.923929732,0,2.525115998,0,0,0,1.946147735,1.946147735,1.946147735,4.471263734,0,1.923929732,0
ABCB1,0,3.995560897,1.942651811,2.052909086,0,0,0,1.942651811,2.47133552,0,2.47133552,1.942651811,0,0,0,2.47133552,2.052909086,1.942651811,2.052909086,0,2.47133552,2.47133552,1.942651811,2.47133552,0,0,2.052909086,0,0,0
ABCB7,0,0,0,0,0,0.793432976,0,0,0,0,0,0,0,0,0,0.793432976,0,0,0,0,0,0,0.793432976,0,0.793432976,0,0,0,0,0.793432976
ABCC1,0,1.629892482,0,1.224603307,1.753860087,1.629892482,0,0,0,0,0,0,3.383752568,0,2.978463394,1.629892482,1.224603307,0,1.224603307,0,0,0,0,0,0,1.224603307,0,0,1.224603307,0
ABCC3,0,0,0,0,1.683015333,0,0,0,2.291140802,0,2.291140802,0,0,0,0,0,0,2.291140802,1.683015333,1.683015333,0,0,0,3.974156135,0,0,0,0,0,0
