"","Sample"
"AAGAB",5.49618117639311
"AAK1",2.55695248545516
"AAMP",11.1103337464915
"AASDHPPT",15.9927334541154
"AATF",11.322841330883
"ABCA1",32.6369128875734
"ABCA7",6.39519346596663
"ABCB1",6.46689641751606
"ABCB7",0.793432975714906
"ABCC1",4.60835587544307
"ABCC3",3.97415613531082
"ABCD2",6.34316550251329
"ABCE1",10.0155568508353
"ABCF1",22.2106367637591
"ABCF2",5.05899273507772
"ABCF3",0
"ABCG1",4.08047173460158
"ABHD12",8.78252511457075
"ABHD13",17.9261008617245
"ABHD14B",12.6211802219452
"ABHD17A",8.32479339705853
"ABHD2",5.74515880216784
"ABHD3",10.4057303621716
"ABI1",29.1028016515382
"ABI2",10.6329283197406
"ABI3",8.6680355223753
"ABL2",6.80873114906931
"ABLIM1",23.5113205687552
"ABR",12.229438732777
"ABRACL",32.4026532585907
"ABT1",14.6812939384904
"ABTB1",6.44795995362574
"ACAA1",2.58738601866239
"ACAA2",15.0279496272487
"ACADM",1.97155689875651
"ACADVL",36.8835511717775
"ACAP1",12.7454529073076
"ACAP2",31.427373906391
"ACAT1",4.77148566818232
"ACAT2",10.5349108298145
"ACBD3",9.9709906024363
"ACBD5",12.5022220241517
"ACBD6",4.18653165947312
"ACER3",1.92392973205652
"ACIN1",31.3625301817802
"ACLY",6.98545207704509
"ACO2",15.3971965982786
"ACOT13",19.4045925771419
"ACOT8",4.28033652363314
"ACOT9",24.5931811461227
"ACOX1",6.57945692308821
"ACP1",33.9273492811993
"ACP2",12.4426184038553
"ACP5",23.2542451109056
"ACSF3",5.02727910207642
"ACSL1",21.1239539233063
"ACSL3",11.554864120853
"ACSL4",36.3682518117407
"ACSL5",8.45434050096742
"ACSL6",0.95240949259175
"ACSS2",2.67950682933291
"ACTA2",1.99585999631109
"ACTB",159.203402185304
"ACTG1",107.358788197794
"ACTG2",2.94848198613145
"ACTL6A",9.71931413257916
"ACTN1",25.8151717720122
"ACTN4",17.4435092095699
"ACTR10",15.6287913920224
"ACTR1A",8.85301644209301
"ACTR1B",12.232172441744
"ACTR2",87.4493697115724
"ACTR3",62.9568133847227
"ACTR6",13.4079029046634
"ACYP2",4.76850636031733
"ADA",30.7467045616456
"ADAM10",27.6470222413356
"ADAM17",15.0869174055351
"ADAM28",23.8637455541639
"ADAM8",28.2305404799631
"ADAM9",10.4651719072111
"ADAMDEC1",17.6695251606296
"ADAMTSL4",0
"ADAP1",4.92251947358143
"ADAP2",13.4982735423077
"ADAR",25.2210964046283
"ADCY7",12.5680950280434
"ADD1",7.55638141492625
"ADD3",27.9590339800647
"ADH5",10.656062338688
"ADI1",21.2869431796762
"ADIPOR1",32.7524409043382
"ADIPOR2",13.0243969582499
"ADK",14.6735738350432
"ADM",30.3483896615609
"ADNP",5.26429720402566
"ADPGK",25.3219800767838
"ADPRM",0
"ADRM1",27.749500598744
"ADSL",10.7091883524608
"AEBP2",3.20347046331934
"AFF1",3.9258992364225
"AFF4",15.7936457674236
"AFG3L2",10.9591952384648
"AFTPH",27.2844190148179
"AGAP3",11.383921283313
"AGFG1",6.89016818746369
"AGGF1",8.03946308597919
"AGO1",10.8183781803988
"AGO3",7.68988216008536
"AGO4",6.46653463582896
"AGPAT1",2.24490086734065
"AGPAT2",6.45069757692788
"AGPAT3",21.0486247484146
"AGPAT5",26.1828428535014
"AGPS",10.4681499556288
"AGTPBP1",8.32856923303658
"AGTRAP",17.5408534989827
"AHCTF1",4.6295706978282
"AHCY",6.2454893182441
"AHCYL1",11.8187111086022
"AHI1",16.4065129146468
"AHNAK",49.3506756823148
"AHR",23.8554901410209
"AHRR",6.89348329885939
"AHSA1",11.7980666765391
"AIDA",7.7181316862438
"AIF1",86.1587207576307
"AIFM1",18.0346431708631
"AIM2",7.69655621849618
"AIMP1",21.7931889825886
"AIP",32.3041148134807
"AK2",20.3945361392099
"AK4",11.6780074058165
"AKAP10",17.8625516801189
"AKAP11",14.9084577942231
"AKAP13",58.3962108850649
"AKAP17A",4.20382939896149
"AKAP8",4.23262471031906
"AKAP8L",8.21716186899848
"AKAP9",37.8076864694574
"AKIP1",2.04913287967619
"AKIRIN1",20.1366077589597
"AKIRIN2",17.8072083139377
"AKNA",15.6578369564117
"AKR1A1",18.2904437912899
"AKR1B1",5.59729434857813
"AKR7A2",2.37862666149812
"AKT1",5.15708686420656
"AKT1S1",8.09319950212522
"AKT2",7.99297096704872
"AKT3",9.84412873671068
"ALAS1",3.07697944042439
"ALCAM",17.9768286298925
"ALDH2",18.4449231808376
"ALDH3A2",0.778695996406757
"ALDH3B1",2.21047369207032
"ALDH9A1",11.3343179861334
"ALDOA",146.84289662057
"ALDOC",22.0004321863076
"ALG11",3.01944902021517
"ALG12",3.24355476866665
"ALG13",13.5588509826897
"ALG2",14.0738349568173
"ALG5",7.36804311792417
"ALKBH5",19.9328948753201
"ALKBH7",19.3105977792501
"ALOX5",19.1380151893619
"ALOX5AP",19.4300587301374
"ALYREF",6.88725893826042
"AMD1",24.2149177648336
"AMFR",8.17943360334163
"AMPD2",3.91541245666942
"AMPD3",3.83842780252351
"AMY2B",11.1759180261726
"AMZ2",6.52593559276862
"ANAPC10",1.42621716890637
"ANAPC11",38.598562616193
"ANAPC13",10.5920743127277
"ANAPC15",2.97859677734641
"ANAPC16",38.9782453583461
"ANAPC4",3.07575967799423
"ANAPC5",26.1147829294781
"ANGEL2",0
"ANKFY1",7.46056693060023
"ANKH",6.52875808616748
"ANKIB1",8.63869530605376
"ANKLE2",21.338952121002
"ANKRA2",6.43016472523235
"ANKRD10",15.5968682269692
"ANKRD11",16.354304380233
"ANKRD12",91.9752181855354
"ANKRD13A",8.08302591141638
"ANKRD13C",7.34555676567944
"ANKRD13D",9.10030332237083
"ANKRD17",8.38154027538589
"ANKRD22",9.28935658349145
"ANKRD26",2.03650116364967
"ANKRD36",8.40734357111124
"ANKRD36C",6.89360534099056
"ANKRD37",10.694271943137
"ANKRD40",4.7702179399698
"ANKRD42",33.8293736328318
"ANKRD44",8.93100171739138
"ANKRD46",16.8543811483774
"ANKRD49",13.805662180026
"ANKZF1",7.85726225419413
"ANO6",9.54875903756787
"ANP32A",21.0475956733345
"ANP32B",68.4088476621185
"ANP32E",28.262852959529
"ANPEP",56.8681203270639
"ANTXR2",14.0424154308966
"ANXA1",92.8631689374435
"ANXA11",20.6536832115416
"ANXA2",78.010109192434
"ANXA2R",8.12305405544909
"ANXA4",8.698080303942
"ANXA5",92.9148046747077
"ANXA6",23.4440553498072
"ANXA7",22.1542988483956
"AOAH",9.88716783290248
"AP1AR",4.81413783203729
"AP1B1",15.133869121098
"AP1G1",9.2584617608762
"AP1G2",7.30413795927715
"AP1M1",11.401144200651
"AP1S2",42.9951195771864
"AP2A1",5.16030931339575
"AP2A2",13.3207123095997
"AP2B1",23.4172198471892
"AP2M1",29.2041592990036
"AP2S1",34.8757982734862
"AP3B1",17.0089037205946
"AP3D1",14.5974669623837
"AP3S1",14.7874131855917
"AP5B1",4.31927957320107
"AP5M1",2.84634206177045
"AP5Z1",7.07555880903348
"APAF1",2.87487470420922
"APBB1IP",27.5341355040119
"APBB3",10.2268331671509
"APC",11.5762830882734
"APEH",9.17771916525164
"APEX1",17.219244266035
"APH1A",22.0302092614992
"APH1B",0
"API5",3.68898310760545
"APIP",14.1218929882165
"APLP2",72.5740071733736
"APMAP",13.5938623008449
"APOBEC3A",25.4713970841971
"APOBEC3B",16.1441464890069
"APOBEC3C",24.3635325694554
"APOBEC3G",14.4684535684367
"APOBR",15.2151431065203
"APOL1",5.37295204644389
"APOL2",18.4754274501283
"APOL3",26.8996932356596
"APOL6",28.3992648787787
"APP",12.33933998387
"APPBP2",4.71446625907736
"APPL1",18.8552259693269
"APRT",23.0100215036347
"APTX",6.32572213405593
"AQP9",18.0127464111797
"AQR",6.55550607855396
"ARAF",5.40137491367881
"ARAP1",23.7339385590746
"ARAP2",22.2425637093311
"ARCN1",17.732750647754
"AREL1",4.10477878355554
"ARF1",50.8712935887288
"ARF3",20.107038092427
"ARF4",19.2898021992603
"ARF5",7.16577274147764
"ARF6",13.2219531368366
"ARFGAP1",7.69194064871156
"ARFGAP2",7.28123592567841
"ARFGAP3",27.6116231454437
"ARFGEF1",20.0143459028011
"ARFGEF2",12.3842863613623
"ARFIP1",3.40372739204979
"ARFRP1",6.67762811720445
"ARGLU1",41.0394525685386
"ARHGAP1",1.08409167105792
"ARHGAP10",16.5477834241954
"ARHGAP12",3.00802140311444
"ARHGAP15",16.2457971856403
"ARHGAP17",7.21054024000128
"ARHGAP18",25.3680955248272
"ARHGAP21",2.95782015210844
"ARHGAP25",15.595884098298
"ARHGAP26",17.7107548826925
"ARHGAP27",10.7445511302976
"ARHGAP30",35.1280723252287
"ARHGAP35",5.40812021385681
"ARHGAP4",15.3062590488236
"ARHGAP5",21.9998972401937
"ARHGAP9",11.8457552603681
"ARHGDIA",25.6808903739552
"ARHGDIB",102.408144531452
"ARHGEF1",18.2203074464922
"ARHGEF10L",3.79725234655886
"ARHGEF11",3.8981728286739
"ARHGEF18",3.49212300530537
"ARHGEF2",9.49517447728371
"ARHGEF3",7.37734347443677
"ARHGEF40",4.9459742884285
"ARHGEF6",6.86927645189469
"ARHGEF7",9.91049473068434
"ARID1A",9.83982365290074
"ARID1B",9.34870102380437
"ARID2",8.79114065197776
"ARID3A",7.68973114361512
"ARID4A",33.3067332603292
"ARID4B",43.5341270040456
"ARID5A",4.2879091439077
"ARID5B",32.7865767420725
"ARIH1",10.3157343087824
"ARIH2",8.67336306305109
"ARL1",13.3844416746527
"ARL11",2.57264903935424
"ARL13B",8.84362595159604
"ARL14EP",13.4011723019659
"ARL2",10.1563076443808
"ARL2BP",14.5504699145341
"ARL3",9.05716766294606
"ARL4C",24.629260670328
"ARL5A",6.39587416427622
"ARL5B",5.53374364715235
"ARL6IP1",35.4502649978565
"ARL6IP5",75.4140675169351
"ARL6IP6",7.37063183025463
"ARL8A",10.9936120224768
"ARL8B",27.9252430257717
"ARMC1",4.56321792601983
"ARMC10",4.92815189014146
"ARMC8",15.8820622066552
"ARMCX3",8.27397786176953
"ARNT",1.65525275391686
"ARNTL",17.9592868299798
"ARPC1A",7.7792544962444
"ARPC1B",53.8217329324765
"ARPC2",101.696361017964
"ARPC3",71.3804212150113
"ARPC4",56.2544745197777
"ARPC5",72.6252370243222
"ARPC5L",15.0116368352483
"ARPP19",25.9794867314252
"ARRB1",8.73377568713094
"ARRB2",27.2667421626591
"ARRDC1",1.20242702059618
"ARRDC2",19.5781370618859
"ARRDC3",24.1233413871425
"ARRDC4",4.1033883019148
"ARSA",10.9260889300283
"ARSB",3.02831897226704
"ARSD",8.36629300523821
"ASAH1",44.655542839587
"ASAP1",8.90335842380234
"ASB8",3.8253494495158
"ASCC2",6.63654127247313
"ASCC3",7.15785558757875
"ASF1A",3.9987609540325
"ASH1L",20.2326523858014
"ASH2L",5.02964465184251
"ASMTL",13.5919002437023
"ASNSD1",11.1918456533571
"ASPH",4.59736640046894
"ASXL1",10.3346285345843
"ASXL2",14.7044016719157
"ATAD1",6.40712772208846
"ATAD2",7.66049790663107
"ATAD2B",12.0431066616171
"ATE1",9.26605663748229
"ATF1",7.68100998547044
"ATF2",13.2706753985596
"ATF3",12.5032440152301
"ATF4",54.1458350773935
"ATF5",62.2122616446831
"ATF6",27.4132379538259
"ATF7",6.71686624037541
"ATF7IP",17.0022923524159
"ATG10",5.78669972892462
"ATG12",12.8783568960707
"ATG13",12.8109048419726
"ATG14",12.6487303455519
"ATG16L2",6.85290091637329
"ATG3",35.9247872429763
"ATG4B",9.39964235566329
"ATG5",8.75044793883928
"ATG7",5.13684500209721
"ATG9A",4.4857520205876
"ATL3",8.34811658579968
"ATM",25.1185945334292
"ATOX1",28.9676088217726
"ATP10D",4.29334174595774
"ATP11A",6.18738233560928
"ATP11B",3.62575247785769
"ATP11C",4.47059418095136
"ATP13A1",4.4665383566468
"ATP13A3",32.3080867754693
"ATP1A1",29.2721361142505
"ATP1B3",31.9140216345814
"ATP2A2",14.7829379989112
"ATP2A3",3.71952097140369
"ATP2B1",38.4735257280929
"ATP2B4",11.4660423020575
"ATP2C1",11.7092489366953
"ATP6AP1",19.1098771177159
"ATP6AP2",24.2070019767848
"ATP6V0A1",3.21897549778557
"ATP6V0B",55.3158457667502
"ATP6V0D1",11.6873877228382
