"","Spot","xcoord","ycoord"
"1","spot_1",1,1
"2","spot_2",2,1
"3","spot_3",3,1
"4","spot_4",4,1
"5","spot_5",5,1
"6","spot_6",6,1
"7","spot_7",1,2
"8","spot_8",2,2
"9","spot_9",3,2
"10","spot_10",4,2
"11","spot_11",5,2
"12","spot_12",6,2
"13","spot_13",1,3
"14","spot_14",2,3
"15","spot_15",3,3
"16","spot_16",4,3
"17","spot_17",5,3
"18","spot_18",6,3
"19","spot_19",1,4
"20","spot_20",2,4
"21","spot_21",3,4
"22","spot_22",4,4
"23","spot_23",5,4
"24","spot_24",6,4
"25","spot_25",1,5
"26","spot_26",2,5
"27","spot_27",3,5
"28","spot_28",4,5
"29","spot_29",5,5
"30","spot_30",6,5
